Symbol,Name,Type,Date,Shares,Price,Commission,Notes
CHK,Chesapeake Energy Corporation,Buy,,0,0,0,
UAA,Under Armour Inc,Buy,,0,0,0,
ATVI,"Activision Blizzard, Inc.",Buy,,0,0,0,
ILMN,"Illumina, Inc.",Buy,,0,0,0,
WYNN,"Wynn Resorts, Limited",Buy,,0,0,0,
NRG,NRG Energy Inc,Buy,,0,0,0,
AMSG,Envision Healthcare Corp,Buy,,0,0,0,
DAL,"Delta Air Lines, Inc.",Buy,,0,0,0,
ALXN,"Alexion Pharmaceuticals, Inc.",Buy,,0,0,0,
RBS,Royal Bank of Scotland Group PLC,Buy,,0,0,0,
JPM,JPMorgan Chase & Co.,Buy,,0,0,0,
C,Citigroup Inc,Buy,,0,0,0,
